participant_id,pair_id,trial_id,ref_set_num,ref_set_size,ref_area_multiplier,ref_resulting_area,ref_radius_multiplier,ref_resulting_radius,targ_set_num,targ_set_size,targ_area_multiplier,targ_resulting_area,targ_radius_multiplier,targ_resulting_radius,set_size_ratio,resulting_area_ratio,resulting_radius_ratio
26713,110,26713_110,521,5,0.46,8697.220000000001,0.6782329983125268,117.49898801370718,946,9,1,15782,1,212.4370687387185,0.5555555555555556,0.5510847801292612,0.5531002132128928
26713,207,26713_207,546,5,1,16590,1,162.3592941859432,677,6,1.82,19617.780000000002,1.3490737563232043,193.39017720754228,0.8333333333333334,0.8456614356976171,0.8395426103348704
26713,260,26713_260,556,5,0.46,8184.320000000001,0.6782329983125268,113.84884695148354,902,9,1,12650,1,190.0890397556492,0.5555555555555556,0.6469818181818182,0.5989237838111605
26713,462,26713_462,599,5,1,13217,1,144.96536663854414,933,9,2,19716,1.4142135623730951,237.22779631410862,0.5555555555555556,0.6703692432542098,0.6110808635873276
26713,350,26713_350,572,5,0.9,12755.7,0.9486832980505138,142.39476487205366,897,8,1,16203,1,202.80981413049898,0.625,0.7872431031290502,0.7021098337007944
26713,430,26713_430,590,5,1,15301,1,155.9486749563474,1091,10,2,26692,1.4142135623730951,291.1279475622059,0.5,0.5732429192267346,0.5356705746123035
26713,268,26713_268,556,5,1,17792,1,167.8609670050623,1038,10,2,25004,1.4142135623730951,281.48137080625804,0.5,0.7115661494160934,0.5963484067320391
26713,427,26713_427,590,5,1,15301,1,155.9486749563474,998,9,1.3,23389.600000000002,1.140175425099138,258.52649372284225,0.5555555555555556,0.6541796353935082,0.6032212509853433
26713,397,26713_397,585,5,1,11295,1,133.83372202907148,887,8,0.99,15613.289999999999,0.99498743710662,199.13177591155033,0.625,0.7234221615047182,0.6720862173625031
30489,207,30489_207,546,5,1,16590,1,162.3592941859432,677,6,1.08,11641.320000000002,1.0392304845413265,148.97403987212255,0.8333333333333334,1.4250961231200583,1.089849575975186
30489,238,30489_238,550,5,0.79,14004.33,0.8888194417315589,149.12235460844875,664,6,1,11740,1,149.47866390305754,0.8333333333333334,1.192873083475298,0.9976163200465862
30489,270,30489_270,556,5,0.68,12098.560000000001,0.8246211251235321,138.42169947603858,1070,10,1,15862,1,224.30317357450627,0.5,0.7627386206026984,0.6171187739796261
30489,48,30489_48,510,5,1,10695,1,130.39177621420242,925,9,0.68,10264.6,0.8246211251235321,171.275545395174,0.5555555555555556,1.0419305184809928,0.7612982688997262
30489,49,30489_49,510,5,1,10695,1,130.39177621420242,1039,10,0.9,11338.2,0.9486832980505138,189.64241976183143,0.5,0.9432714187437159,0.6875665074193799
30489,75,30489_75,516,5,1,11200,1,133.38155696980675,717,7,0.84,14066.64,0.916515138991168,176.80648262683573,0.7142857142857143,0.7962100402086071,0.754392910192774
30489,49,30489_49,510,5,0.67,7165.6500000000005,0.8185352771872451,106.73026868642941,1039,10,1,12598,1,199.90066247770466,0.5,0.5687926655024608,0.5339165331597301
30489,215,30489_215,548,5,1,16419,1,161.4109864104174,814,8,0.89,11827.210000000001,0.9433981132056604,173.30129303895887,0.625,1.3882394918159058,0.93138939461999
30489,345,30489_345,572,5,1.07,15165.11,1.03440804327886,155.26181435589214,761,7,1,16808,1,193.35283500811607,0.7142857142857143,0.9022554735840076,0.8029973511863685
30489,207,30489_207,546,5,0.88,14599.2,0.938083151964686,152.30651844071133,677,6,1,10779,1,143.35033670405997,0.8333333333333334,1.3544113554133037,1.0624775772598356
30489,106,30489_106,521,5,1,18907,1,173.24280638961798,841,8,0.83,15854.66,0.9110433579144299,200.64943741668108,0.625,1.192520054040894,0.8634103769244627
30489,238,30489_238,550,5,1,17727,1,167.77575692756577,664,6,1.09,12796.6,1.044030650891055,156.0603067690344,0.8333333333333334,1.3852898426144444,1.07507001877082
30489,427,30489_427,590,5,1,15301,1,155.9486749563474,998,9,0.86,15473.119999999999,0.9273618495495703,210.27256165912746,0.5555555555555556,0.9888761930366985,0.7416501407784986
30489,442,30489_442,596,5,1,12767,1,142.46907195860965,740,7,0.7,8334.199999999999,0.8366600265340756,136.01287339579426,0.7142857142857143,1.5318806844088217,1.0474675551043466
30489,226,30489_226,548,5,1,16419,1,161.4109864104174,1079,10,0.85,12762.75,0.9219544457292888,201.25760896323297,0.5,1.2864782276546982,0.80201184562371
30489,463,30489_463,599,5,1,13217,1,144.96536663854414,943,9,0.87,12415.77,0.9327379053088815,188.42992638421026,0.5555555555555556,1.0645332508575787,0.7693330322857448
